,Info: Tipo,Info: Empresa,Info: Setor,Info: Subsetor,PriceInfo: Cotação,PriceInfo: Data últ cot,PriceInfo: Min 52 sem,PriceInfo: Max 52 sem,PriceInfo: Vol $ méd (2m),MarketValue: Valor de mercado,MarketValue: Valor da firma,MarketValue: Últ balanço processado,MarketValue: Nro Ações,Oscilations: Dia,Oscilations: Mês,Oscilations: 30 dias,Oscilations: 12 meses,Oscilations: 2020,Oscilations: 2019,Oscilations: 2018,Oscilations: 2017,Oscilations: 2016,Oscilations: 2015,,FundamentalIndicators: P/L,FundamentalIndicators: P/VP,FundamentalIndicators: P/EBIT,FundamentalIndicators: PSR,FundamentalIndicators: P/Ativos,FundamentalIndicators: P/Cap Giro,FundamentalIndicators: P/Ativ Circ Liq,FundamentalIndicators: Div Yield,FundamentalIndicators: EV / EBITDA,FundamentalIndicators: EV / EBIT,FundamentalIndicators: Cres Rec (5a),FundamentalIndicators: LPA,FundamentalIndicators: VPA,FundamentalIndicators: Marg Bruta,FundamentalIndicators: Marg EBIT,FundamentalIndicators: Marg Líquida,FundamentalIndicators: EBIT / Ativo,FundamentalIndicators: ROIC,FundamentalIndicators: ROE,FundamentalIndicators: Liquidez Corr,FundamentalIndicators: Div Br/ Patrim,FundamentalIndicators: Giro Ativos,BalanceSheet: Ativo,BalanceSheet: Disponibilidades,BalanceSheet: Ativo Circulante,BalanceSheet: Dív Bruta,BalanceSheet: Dív Líquida,BalanceSheet: Patrim Líq,Demonstrative12M: Receita Líquida,Demonstrative12M: EBIT,Demonstrative12M: Lucro Líquido,Demontrative3M: Receita Líquida,Demontrative3M: EBIT,Demontrative3M: Lucro Líquido,BalanceSheet: Cart de Crédito,BalanceSheet: Depósitos,Demonstrative12M: Result Int Financ,Demonstrative12M: Rec Serviços,Demontrative3M: Result Int Financ,Demontrative3M: Rec Serviços
TIET3,ON N2,AES TIETE E ON N2,Energia Elétrica,Energia Elétrica,327,26/06/2020,226,431,565859,6525390000,9388580000,31/03/2020,1995530000,-1.21%,6.86%,7.92%,46.71%,-22.89%,126.31%,-15.56%,-6.64%,10.55%,0.00%,,2082,427,850,319,081,-4753,-140,4.2%,866,1223,9.4%,016,077,37.6%,37.6%,15.3%,9.5%,14.1%,20.5%,093,279,025,8083880000,1396240000,1880080000,4259430000,2863190000,1526700000,2043110000,767728000,313424000,494396000,234946000,75319000,,,,,,
EEEL4,PN N1,CEEE PN N1,,,42999,05/06/2020,29347,53562,7940,4162730000,4437070000,31/03/2020,9681000,0.00%,0.00%,0.00%,46.52%,-6.48%,125.56%,114.79%,87.21%,7302.95%,-38.60%,,2088,179,1105,392,080,727,-241,2.8%,1079,1178,3.2%,2060,24061,43.9%,35.5%,18.7%,7.3%,8.1%,8.6%,208,031,021,5174620000,456801000,1105080000,731138000,274337000,2329340000,1060970000,376693000,199394000,259796000,95829000,-97083000,,,,,,
MERC4,PN,MERCANTIL BRASIL PN,Financeiros,Soc Crédito e Financiamento,1175,26/06/2020,790,1927,82747,211618000,-,31/03/2020,18010000,-0.51%,28.56%,29.69%,74.46%,-12.27%,107.16%,24.26%,5.67%,-33.81%,132.53%,,2100,087,-,-,-,-,-,4.2%,-,-,-14.8%,056,1356,-,-,0.0%,0.0%,-,4.1%,-,-,-,380861000,,,,,244175000,,,10078000,,,1394000,213265000,83092000,50953000,4000,11205000,1000
MDIA3,ON NM,MDIASBRANCO ON NM,Alimentos,Alimentos Diversos,3958,26/06/2020,2678,4500,42891800,13417600000,14173800000,31/03/2020,339000000,-3.35%,9.55%,9.10%,2.58%,4.33%,-10.86%,-17.18%,37.26%,75.03%,-23.99%,,2107,219,2106,209,151,1037,4036,0.6%,1613,2225,7.6%,188,1808,36.3%,9.9%,9.9%,7.2%,8.0%,10.4%,173,026,073,8858720000,811186000,3062060000,1567370000,756181000,6129090000,6423430000,637037000,636955000,1636750000,184239000,137000000,,,,,,
BALM3,ON,BAUMER ON,Máquinas e Equipamentos,Máqs e Equips Hospitalares,1350,22/06/2020,1150,1350,4157,132300000,149776000,31/12/2019,9800000,0.00%,0.00%,0.00%,24.31%,17.39%,5.89%,33.91%,56.56%,0.00%,0.00%,,2116,132,1171,089,069,252,450,0.0%,1058,1326,6.5%,064,1026,51.8%,7.6%,2.8%,5.9%,6.6%,6.2%,188,031,078,190587000,13415000,111867000,30891000,17476000,100523000,149310000,11297000,6252000,35347000,1310000,460000,,,,,,
QUAL3,ON NM,QUALICORP ON NM,Saúde,Serviços Médico - Hospitalares. Análises e Diagnósticos,2768,26/06/2020,1930,4499,103499000,7861510000,8562930000,31/03/2020,284014000,-3.89%,16.69%,17.69%,41.51%,-25.39%,242.88%,-56.89%,69.25%,51.48%,-41.13%,,2146,522,1020,386,226,1357,-889,14.9%,743,1111,2.2%,129,530,81.4%,37.8%,18.0%,22.1%,29.5%,24.3%,212,087,059,3484520000,608647000,1094750000,1310060000,701417000,1505810000,2038920000,771019000,366251000,502550000,167974000,70383000,,,,,,
ABEV3,ON NM,AMBEV S/A ON NM,Bebidas,Cervejas e Refrigerantes,1395,26/06/2020,1103,2018,381217000,219505000000,209729000000,31/03/2020,15735100000,-1.62%,11.78%,11.33%,-21.22%,-25.28%,24.08%,-25.59%,33.10%,-4.96%,13.71%,,2150,312,1500,418,193,3741,-2092,3.5%,1088,1433,3.3%,065,447,57.7%,27.8%,20.3%,12.9%,17.1%,14.5%,123,005,046,113688000000,13249300000,31086400000,3473450000,-9775840000,70359900000,52562200000,14638400000,10209900000,12602600000,2887210000,1091780000,,,,,,
GOAU4,PN N1,METALÚRGICA GERDAU PN N1,Siderurgia e Metalurgia,Siderurgia,697,26/06/2020,384,1082,104162000,7578080000,21628600000,31/03/2020,1087240000,-2.52%,12.97%,28.13%,-1.31%,-24.71%,36.67%,23.23%,20.83%,192.30%,-84.45%,,2169,070,323,020,012,072,-071,1.1%,483,921,0.3%,032,994,9.8%,6.0%,2.5%,3.9%,4.7%,3.2%,204,185,064,60697000000,5978960000,20651700000,20029400000,14050500000,10803200000,38845900000,2349100000,349367000,9227540000,482527000,76778000,,,,,,
CCRO3,ON NM,COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM,Transporte,Exploração de Rodovias,1480,26/06/2020,969,1961,141333000,29896000000,43818200000,31/03/2020,2020000000,-5.73%,0.68%,0.75%,11.99%,-20.17%,78.22%,-26.80%,4.75%,33.56%,-11.34%,,2182,337,883,276,088,-10115,-171,5.2%,809,1295,3.7%,068,439,41.7%,31.3%,12.4%,10.0%,11.9%,15.4%,096,214,032,33875500000,5058460000,7267770000,18980600000,13922200000,8870520000,10824100000,3384900000,1369870000,2642150000,846145000,289682000,,,,,,
MULT3,ON N2,Multiplan ON N2,Exploração de Imóveis,Exploração de Imóveis,2023,26/06/2020,1720,3552,151692000,12153400000,14359500000,31/03/2020,600761000,-5.02%,-2.22%,-7.12%,-25.20%,-38.65%,38.09%,4.35%,21.86%,57.35%,-12.04%,,2183,209,1456,918,117,3271,-391,1.4%,1353,1721,5.4%,093,966,79.8%,63.0%,42.0%,8.0%,9.1%,9.6%,133,058,013,10411500000,1140800000,1490790000,3346870000,2206070000,5806040000,1323920000,834577000,556801000,320674000,222329000,177749000,,,,,,
IGTA3,ON NM,IGUATEMI ON NM,Exploração de Imóveis,Exploração de Imóveis,3309,26/06/2020,2681,5652,87206000,5844090000,7472980000,31/03/2020,176612000,-4.21%,2.14%,-1.14%,-24.91%,-36.83%,30.04%,7.59%,50.76%,42.91%,-20.15%,,2184,195,1540,794,099,868,-315,1.3%,1456,1969,3.3%,151,1696,65.0%,51.5%,36.9%,6.4%,7.6%,8.9%,286,084,012,5898310000,901852000,1034260000,2530740000,1628890000,2995990000,736161000,379459000,267564000,154884000,66752000,11834000,,,,,,
EVEN3,ON NM,Even ON NM,Construção e Engenharia,Construção Civil,1089,26/06/2020,520,1880,23578000,2308680000,2752570000,31/03/2020,212000000,-1.89%,54.25%,53.38%,36.51%,-28.50%,159.33%,4.53%,55.14%,-5.61%,-17.30%,,2189,135,1473,126,046,100,297,1.3%,1660,1756,-3.5%,050,805,25.1%,8.5%,7.2%,3.1%,3.9%,6.2%,248,085,037,5026070000,998514000,3865040000,1442400000,443891000,1705990000,1836050000,156722000,105471000,406878000,44541000,36359000,,,,,,
CYRE3,PN,CYRELA BRAZIL REALTY PN,Construção e Engenharia,Construção Civil,2192,26/06/2020,1245,3438,176697000,8762370000,9987190000,31/03/2020,399743000,-5.31%,29.32%,35.73%,19.39%,-26.17%,105.90%,26.49%,29.84%,40.48%,-25.77%,,2216,183,2025,226,085,270,1675,8.3%,2193,2308,0.1%,099,1198,31.7%,11.2%,13.5%,4.2%,4.9%,8.3%,238,052,038,10290800000,1288970000,5603400000,2513800000,1224820000,4790400000,3869340000,432708000,395366000,764754000,74297000,27934000,,,,,,
GGBR3,ON N1,GERDAU SA ON N1,Siderurgia e Metalurgia,Siderurgia,1280,26/06/2020,762,1942,1692660,22011600000,36062200000,31/03/2020,1719660000,-2.29%,16.36%,26.48%,4.61%,-25.04%,43.06%,21.30%,31.99%,129.14%,-56.71%,,2266,076,934,057,036,210,-205,1.1%,805,1531,0.3%,056,1693,9.8%,6.1%,2.5%,3.9%,4.7%,3.3%,203,069,064,60648500000,5978880000,20606000000,20029400000,14050600000,29120600000,38845900000,2356210000,971358000,9227540000,485084000,216625000,,,,,,
KEPL3,ON,KEPLER WEBER SA ON,Máquinas e Equipamentos,Máqs e Equips Industriais,3700,26/06/2020,1870,3700,3517000,973544000,953137000,31/03/2020,26312000,1.51%,23.33%,27.10%,94.23%,26.90%,99.66%,-23.61%,8.48%,11.95%,-65.14%,,2305,204,1644,170,147,702,925,1.1%,1052,1610,-2.0%,161,1810,25.8%,10.3%,7.4%,8.9%,10.8%,8.9%,191,013,087,662345000,81275000,291428000,60868000,-20407000,476133000,573416000,59209000,42239000,127482000,8411000,8749000,,,,,,
BRGE11,PNE,CONSORCIO ALFA PNE,Financeiros,Bancos,1600,19/06/2020,569,1600,1226,1178340000,606667000,31/03/2020,73646000,0.00%,79.78%,79.78%,170.31%,2.04%,289.29%,8.44%,24.26%,8.93%,37.25%,,2345,097,-263,4026,038,-414,-326,2.2%,-136,-135,-0.6%,068,1644,-233.1%,-1532.3%,268.5%,-14.4%,-17.7%,4.1%,077,-,001,3111670000,571669000,954709000,0,-571669000,1210980000,29269000,-448475000,50240000,7068000,-118370000,13403000,,,,,,
SCAR3,ON,SÃO CARLOS EMPREENDE PARTICIPAÇÕES SA ON,Exploração de Imóveis,Exploração de Imóveis,3716,26/06/2020,2690,5591,549216,2145510000,3263790000,31/03/2020,57737000,-1.43%,21.08%,25.12%,16.99%,-20.88%,46.16%,-24.45%,74.70%,10.76%,-28.65%,,2356,144,1004,563,071,773,-204,1.0%,1262,1527,-7.3%,158,2578,74.7%,56.1%,24.1%,7.1%,8.0%,6.1%,244,099,013,3018770000,354516000,469404000,1472800000,1118280000,1488560000,380862000,213790000,91067000,65523000,38715000,10596000,,,,,,
ENGI3,ON,ENERGISA ON,Energia Elétrica,Energia Elétrica,1222,26/06/2020,1025,1392,108744,22173900000,37456000000,31/03/2020,1814560000,-0.65%,3.38%,4.89%,-10.23%,-9.83%,70.68%,-14.56%,156.59%,31.41%,48.13%,,2424,354,940,111,053,1195,-095,1.0%,1065,1588,14.5%,050,345,16.2%,11.8%,4.9%,5.7%,6.6%,14.6%,120,304,048,41501900000,3796650000,11202100000,19078700000,15282100000,6268050000,19921400000,2359070000,914874000,4782310000,598046000,573023000,,,,,,
ELEK3,ON,ELEKEIROZ S/A ON,Químicos,Petroquímicos,1911,26/06/2020,1372,2550,7539,601678000,759454000,31/03/2020,31485000,-12.74%,3.30%,3.30%,40.44%,5.10%,54.67%,98.68%,88.74%,-32.77%,-22.48%,,2446,266,5211,062,107,375,-11034,2.2%,2615,6577,5.7%,078,719,11.4%,1.2%,2.5%,2.0%,2.5%,10.9%,194,099,172,563726000,65985000,331946000,223761000,157776000,226327000,971739000,11547000,24603000,229395000,-996000,-4767000,,,,,,
SULA3,ON N2,Sul America ON N2,Previdência e Seguros,Seguradoras,2150,26/06/2020,1122,2899,112110,25422900000,11388500000,31/03/2020,1182460000,-0.51%,4.67%,5.18%,75.47%,-12.61%,110.85%,106.12%,-50.26%,0.00%,0.00%,,2447,359,3177,115,092,272,-2010,1.3%,1232,1423,9.5%,088,599,12.2%,3.6%,4.7%,2.9%,7.0%,14.7%,193,032,080,27736900000,16296300000,19387400000,2261920000,-14034400000,7082860000,22069400000,800331000,1038930000,5594500000,49959000,79816000,,,,,,
LCAM3,ON NM,LOCAMERICA ON NM,Diversos,Aluguel de Carros,1665,26/06/2020,821,2549,58130200,8470340000,12211300000,31/03/2020,508729000,-4.75%,12.58%,20.22%,7.93%,-25.86%,84.33%,101.64%,230.27%,96.79%,-8.73%,,2463,214,1094,170,079,1228,-200,2.1%,951,1577,71.8%,068,778,26.6%,15.5%,6.9%,7.2%,9.4%,8.7%,136,124,046,10788400000,1156080000,2603340000,4896990000,3740920000,3959760000,4986690000,774561000,343912000,1240190000,167378000,79570000,,,,,,
CNTO3,ON NM,CENTAURO ON NM,Comércio,Tecidos. Vestuário e Calçados,3183,26/06/2020,1380,5093,79501600,7671510000,7600790000,31/12/2019,241015000,-4.18%,8.78%,12.59%,131.49%,-9.52%,186.02%,0.00%,0.00%,0.00%,0.00%,,2473,656,10223,301,195,1643,-637,0.0%,2610,10129,-,129,485,49.4%,2.9%,12.2%,1.9%,2.4%,26.5%,143,003,065,3933730000,105308000,1560580000,34590000,-70718000,1169800000,2545420000,75043000,310171000,1397240000,-6721060,275960000,,,,,,
BPAC5,PNA,BTGP BANCO PNA,Financeiros,Bancos,2125,26/06/2020,950,2420,60809,55373900000,-,31/03/2020,2605830000,-3.37%,46.45%,51.79%,35.33%,-6.86%,220.78%,26.45%,96.20%,0.00%,0.00%,,2488,252,-,-,-,-,-,2.1%,-,-,-77.3%,085,844,-,-,0.0%,0.0%,-,10.1%,-,-,-,236221000000,,,,,21998900000,,,2225450000,,,-907789000,24388600000,25405500000,-301341000,1583330000,-3375060000,435445000
EZTC3,ON NM,EZTec ON NM,Construção e Engenharia,Construção Civil,3748,26/06/2020,2453,5963,99660600,8507960000,7241360000,31/03/2020,227000000,-4.22%,14.93%,15.57%,49.41%,-27.14%,152.80%,18.53%,64.48%,36.93%,-32.66%,,2492,222,4830,937,195,462,492,0.8%,3865,4111,2.8%,150,1692,41.3%,19.4%,38.8%,4.0%,5.8%,8.9%,618,000,021,4354420000,1267150000,2197030000,557000,-1266600000,3839730000,907534000,176163000,341469000,249514000,47665000,77689000,,,,,,
DIRR3,ON NM,Direcional Engenharia ON NM,Construção e Engenharia,Construção Civil,1485,26/06/2020,718,1839,17818200,2277980000,2434810000,31/03/2020,153399000,-0.80%,55.17%,52.78%,38.01%,-1.00%,116.76%,45.68%,24.02%,36.30%,-52.13%,,2528,180,1048,163,047,129,-204,3.4%,974,1120,-1.0%,059,825,34.4%,15.5%,8.0%,4.5%,5.5%,7.1%,424,075,029,4827820000,798028000,2318540000,954858000,156830000,1265650000,1400900000,217421000,90114000,291469000,38051000,10052000,,,,,,
ARZZ3,ON NM,AREZZO CO ON NM,Comércio,Tecidos. Vestuário e Calçados,4629,26/06/2020,3303,6850,26129700,4210260000,4207040000,31/03/2020,90954000,-3.36%,9.95%,11.43%,-4.38%,-27.67%,19.58%,3.30%,129.45%,23.25%,-15.69%,,2553,557,2846,251,221,534,1577,0.8%,1824,2844,10.3%,181,831,46.2%,8.8%,9.8%,7.8%,13.4%,21.8%,226,082,088,1905180000,619181000,1416750000,615959000,-3221950,755495000,1677540000,147947000,164886000,375471000,15891000,25888000,,,,,,
EQPA7,PNC,EQTL PARA PNC,Energia Elétrica,Energia Elétrica,569,26/06/2020,371,896,9045,12569600000,14560300000,31/12/2019,2209070000,-5.17%,2.15%,1.79%,35.80%,-17.43%,99.15%,105.26%,-6.56%,33.58%,50.55%,,2679,381,1144,225,126,547,-414,2.6%,1036,1325,8.1%,021,149,26.8%,19.6%,8.4%,11.0%,14.0%,14.2%,274,105,056,9955000000,1472350000,3619270000,3462990000,1990650000,3301870000,5595340000,1098810000,469117000,1678230000,446979000,190407000,,,,,,
GGBR4,PN N1,GERDAU SA PN N1,Siderurgia e Metalurgia,Siderurgia,1518,26/06/2020,864,2223,266085000,26104400000,40155000000,31/03/2020,1719660000,-3.07%,13.03%,27.03%,1.58%,-23.97%,37.65%,22.31%,15.23%,132.73%,-47.32%,,2687,090,1108,067,043,249,-244,0.9%,896,1704,0.3%,056,1693,9.8%,6.1%,2.5%,3.9%,4.7%,3.3%,203,069,064,60648500000,5978880000,20606000000,20029400000,14050600000,29120600000,38845900000,2356210000,971358000,9227540000,485084000,216625000,,,,,,
FRAS3,ON,FRAS-LE SA ON,Material de Transporte,Material Rodoviário,539,26/06/2020,330,734,675766,1172680000,1416400000,31/03/2020,217566000,-1.28%,19.51%,29.26%,15.42%,-5.44%,31.03%,-10.49%,31.71%,16.77%,3.61%,,2731,144,979,085,071,273,-1070,2.0%,730,1182,14.5%,020,375,26.2%,8.7%,2.5%,7.2%,8.4%,5.3%,246,047,083,1662550000,144029000,723852000,387753000,243724000,816810000,1384590000,119788000,42940000,341810000,26587000,3869000,,,,,,
FLRY3,ON NM,FLEURY ON NM,Saúde,Serviços Médico - Hospitalares. Análises e Diagnósticos,2436,26/06/2020,1814,3280,63306500,7716960000,8537200000,31/03/2020,316788000,-2.33%,4.33%,5.45%,19.11%,-18.26%,61.88%,-30.99%,68.91%,137.94%,0.00%,,2771,476,1478,264,150,1127,-366,3.8%,1009,1635,10.7%,088,512,29.2%,17.9%,9.5%,10.2%,12.3%,17.2%,194,095,057,5143740000,729398000,1411000000,1549640000,820241000,1622700000,2918450000,522265000,278462000,713934000,107303000,58719000,,,,,,
BPAC11,UNT,BTGP BANCO UNT,Financeiros,Bancos,7267,26/06/2020,2611,8145,245176000,63121900000,-,31/03/2020,2605830000,-5.50%,48.79%,47.67%,50.75%,-3.88%,233.61%,31.53%,12.81%,0.00%,0.00%,,2836,287,-,-,-,-,-,1.9%,-,-,-77.3%,256,2533,-,-,0.0%,0.0%,-,10.1%,-,-,-,236221000000,,,,,21998900000,,,2225450000,,,-907789000,24388600000,25405500000,-301341000,1583330000,-3375060000,435445000
ODPV3,ON NM,ODONTOPREV ON NM,Saúde,Serviços Médico - Hospitalares. Análises e Diagnósticos,1408,26/06/2020,1288,1824,26013600,7480630000,6823790000,31/03/2020,531295000,-2.36%,4.69%,2.03%,-20.04%,-15.66%,25.24%,-11.89%,31.87%,37.56%,3.56%,,2849,636,1652,413,400,1881,3150,2.2%,1438,1507,9.3%,049,221,53.1%,25.0%,14.5%,24.2%,37.9%,22.3%,176,-,097,1867830000,656846000,924081000,0,-656846000,1176410000,1810320000,452798000,262555000,455062000,123879000,75222000,,,,,,
POSI3,ON NM,POSITIVO INF ON NM,Computadores e Equipamentos,Computadores e Equipamentos,521,26/06/2020,223,1139,29407800,738778000,1047120000,31/03/2020,141800000,-3.34%,29.25%,38.83%,108.24%,-48.50%,354.92%,-27.98%,12.28%,63.90%,-13.33%,,2984,084,976,038,031,118,192,0.6%,856,1384,2.1%,017,618,23.5%,3.9%,1.5%,3.2%,5.1%,2.8%,149,088,081,2395480000,465865000,1894160000,774212000,308347000,876494000,1933800000,75681000,24761000,378566000,-11312000,3408000,,,,,,
AFLT3,ON,AFLUENTE T ON,Energia Elétrica,Energia Elétrica,1178,26/06/2020,506,3274,92930,743141000,686435000,31/03/2020,63085000,3.24%,44.36%,40.07%,119.78%,6.32%,101.46%,15.06%,93.52%,39.55%,4.73%,,3005,337,3055,1919,322,956,1052,0.9%,2822,2822,9.4%,039,349,64.6%,62.8%,63.9%,10.5%,14.2%,11.2%,2321,000,017,230894000,57771000,81267000,1065000,-56706000,220256000,38726000,24327000,24730000,8952000,5823000,5910000,,,,,,
OFSA3,ON NM,OUROFINO S/A ON NM,Saúde,Medicamentos e Outros Produtos,2808,26/06/2020,1850,4502,667080,1514890000,1733050000,31/03/2020,53949000,-3.80%,17.00%,10.12%,-16.92%,-34.70%,28.32%,41.57%,-13.96%,-19.58%,18.21%,,3058,309,2003,237,163,762,3796,0.1%,1714,2291,6.5%,092,910,49.2%,11.8%,7.7%,8.2%,10.0%,10.1%,172,070,069,927537000,125686000,476745000,343848000,218162000,490675000,640486000,75645000,49540000,111879000,-1508000,-2155000,,,,,,
AGRO3,ON NM,BRASILAGRO ON NM,Exploração de Imóveis,Exploração de Imóveis,2000,26/06/2020,1380,2147,3348340,1242090000,1787940000,31/03/2020,62104300,0.00%,0.50%,-0.40%,26.66%,5.15%,28.51%,31.67%,15.40%,5.87%,42.41%,,3071,113,836,189,064,455,-454,4.3%,1042,1203,15.5%,065,1777,30.5%,22.6%,18.7%,7.7%,8.4%,3.7%,196,057,034,1933620000,79728000,556473000,625580000,545852000,1103450000,656543000,148581000,40442000,119898000,34962000,0,,,,,,
MERC3,ON,MERCANTIL BRASIL ON,Financeiros,Soc Crédito e Financiamento,1730,26/06/2020,699,4168,5229,311573000,-,31/03/2020,18010000,-30.52%,0.00%,0.00%,119.50%,147.32%,43.72%,0.00%,-26.60%,0.00%,50.22%,,3092,128,-,-,-,-,-,0.0%,-,-,-14.8%,056,1356,-,-,0.0%,0.0%,-,4.1%,-,-,-,380861000,,,,,244175000,,,10078000,,,1394000,213265000,83092000,50953000,4000,11205000,1000
CSAN3,ON,COSAN SA INDUSTRIA E COMERCIO ON,Alimentos,Açucar e Alcool,6869,26/06/2020,4504,8244,116554000,27078300000,37353800000,31/03/2020,394210000,-2.10%,6.54%,9.82%,51.20%,0.84%,112.49%,-17.07%,11.62%,62.40%,-6.56%,,3093,250,1624,400,082,581,-220,2.2%,2240,2240,-1.3%,222,2745,35.3%,24.6%,10.3%,5.0%,6.0%,8.1%,197,126,020,33181100000,3339440000,9471770000,13615000000,10275500000,10820800000,6767860000,1667780000,875334000,3506510000,569514000,102250000,,,,,,
AHEB5,PNA,PARQUE ANHEMBI PNA,Exploração de Imóveis,Exploração de Imóveis,2500,08/06/2020,1682,2500,202,213600000,187891000,31/03/2020,8544000,0.00%,25.31%,25.31%,-23.03%,-23.03%,0.00%,0.00%,21.03%,0.00%,0.00%,,3109,985,2637,234,080,-1205,-108,0.0%,2320,2320,-19.4%,080,254,11.8%,8.9%,7.5%,3.0%,3.6%,31.7%,073,-,034,268004000,25709000,48821000,0,-25709000,21683000,91404000,8099000,6871000,54676000,-5651000,-5611000,,,,,,
BMIN4,PN,BANCO MERCANTIL DE INVESTIMENTOS SA PN,Financeiros,Bancos,1880,26/06/2020,1300,2613,19546,90710000,-,31/03/2020,4825000,-3.59%,9.94%,9.94%,20.59%,-0.57%,73.86%,-28.81%,-28.19%,133.37%,-20.08%,,3172,073,-,-,-,-,-,7.4%,-,-,-12.2%,059,2561,-,-,0.0%,0.0%,-,2.3%,-,-,-,195027000,,,,,123580000,,,2860000,,,504000,39647000,52003000,10145000,3760000,2342000,581000
TXRX3,ON,RENAUX ON,Tecidos. Vestuário e Calçados,Fios e Tecidos,15989,19/06/2020,302,23500,95741,680972000,886535000,31/12/2019,4259000,0.00%,1498.90%,1498.90%,4759.88%,4494.54%,5.45%,-15.38%,21.12%,46.36%,10.00%,,3181,-234,8344,648,369,-261,-163,0.0%,6778,10863,5.9%,503,-6841,31.6%,7.8%,20.4%,4.4%,6.7%,-7.3%,018,-071,057,184355000,403000,58918000,205966000,205563000,-291372000,105061000,8161000,21408000,-36160000,2850000,25579000,,,,,,
AHEB3,ON,PARQUE ANHEMBI ON,Exploração de Imóveis,Exploração de Imóveis,2559,26/06/2020,1900,5572,3591,218641000,192932000,31/03/2020,8544000,-5.19%,28.01%,28.01%,-28.58%,-26.27%,-44.08%,-25.82%,126.63%,300.22%,-23.07%,,3182,1008,2700,239,082,-1234,-111,0.0%,2382,2382,-19.4%,080,254,11.8%,8.9%,7.5%,3.0%,3.6%,31.7%,073,-,034,268004000,25709000,48821000,0,-25709000,21683000,91404000,8099000,6871000,54676000,-5651000,-5611000,,,,,,
EQPA5,PNA,EQTL PARA PNA,Energia Elétrica,Energia Elétrica,680,25/06/2020,407,943,6246,15021700000,17012300000,31/12/2019,2209070000,0.00%,5.59%,5.59%,19.18%,6.25%,43.65%,100.45%,0.00%,64.71%,23.64%,,3202,455,1367,268,151,653,-495,1.8%,1210,1548,8.1%,021,149,26.8%,19.6%,8.4%,11.0%,14.0%,14.2%,274,105,056,9955000000,1472350000,3619270000,3462990000,1990650000,3301870000,5595340000,1098810000,469117000,1678230000,446979000,190407000,,,,,,
PFRM3,ON NM,PROFARMA ON NM,Comércio e Distribuição,Medicamentos,559,26/06/2020,310,769,3639770,692115000,1323840000,31/03/2020,123813000,-5.89%,22.59%,21.52%,50.67%,-13.60%,64.63%,-44.88%,-8.94%,70.96%,-42.24%,,3254,069,360,014,019,139,-566,0.0%,409,689,7.7%,017,812,14.9%,3.8%,0.4%,5.4%,9.1%,2.1%,125,090,142,3585670000,270821000,2457990000,902543000,631722000,1005410000,5104400000,192153000,21272000,1407340000,39355000,781000,,,,,,
JSLG3,ON NM,JULIO SIMOES ON NM,Transporte,Transporte Rodoviário,2250,26/06/2020,1097,3623,26490300,4673320000,13966600000,31/03/2020,207703000,-3.89%,10.62%,14.16%,59.80%,-15.24%,291.38%,-15.45%,-8.17%,42.79%,-41.29%,,3267,353,504,048,022,091,-049,1.1%,730,1507,11.9%,069,638,21.3%,9.4%,1.7%,4.3%,7.1%,10.8%,213,1196,046,21556900000,6545900000,9680830000,15839200000,9293280000,1324240000,9831320000,926888000,143040000,2356890000,33390000,-34935000,,,,,,
LOGG3,ON NM,LOG COM PROP ON NM,Exploração de Imóveis,Exploração de Imóveis,3071,26/06/2020,1540,3409,12449200,3137300000,3527630000,31/03/2020,102159000,-2.45%,31.24%,27.96%,55.35%,-4.52%,81.44%,2.99%,0.00%,0.00%,0.00%,,3321,106,3072,2376,078,477,-1350,0.7%,3430,3454,8.3%,092,2884,98.4%,77.3%,74.0%,2.5%,2.9%,3.2%,498,030,003,4020160000,480016000,823089000,870340000,390324000,2946740000,132049000,102126000,94478000,34000000,26086000,17246000,,,,,,
BMKS3,ON,MONARK ON,Viagens e Lazer,Bicicletas,18905,26/06/2020,16641,27476,12727,85970500,-56333500,31/03/2020,454750,-0.49%,-4.28%,-2.30%,-23.37%,-28.94%,0.45%,-13.37%,33.08%,47.86%,-14.19%,,3379,049,-1616,548,043,054,061,3.2%,1925,1059,-6.3%,559,38958,26.7%,-33.9%,16.2%,-2.7%,-11.0%,1.4%,2858,004,008,199719000,149636000,164603000,7332000,-142304000,177161000,15701000,-5321000,2544000,2817000,-1447000,292000,,,,,,
LIPR3,ON,LIGHTPAR ON,Energia Elétrica,Energia Elétrica,7650,20/05/2020,5980,7794,537,900023000,810442000,31/03/2020,11765000,0.00%,0.00%,0.00%,26.59%,1.73%,39.23%,20.26%,-1.38%,12.33%,-4.88%,,3395,478,5232,-,418,-,-,0.0%,4708,4711,-,225,1599,-,-,0.0%,8.0%,-,14.1%,-,-,-,215269000,89580000,93085000,0,-89580000,188145000,0,17203000,26509000,0,22115000,25937000,,,,,,
